company_name,entry_region,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3
DOALL CANADA INC,EMEA,0,392.28,0,0,0,0,0,0,0,0,0
DOALL CORP,Americas,328451.29,281020.11,239871.95,240820.96,247132.81,284388.08,208566.97,201815.92,124216.12,144232.92,198633.39
DOALL CORP,EMEA,225.69,0,0,0,0,0,0,0,0,0,0
DOCTORLOGIC LLC,Americas,10585.1,3518.39,4392.57,1500.57,5493.52,2081.75,1713.68,4160.13,6546.8,6615.54,6702.55
"DOCUMENT STORAGE SYSTEMS, INC.",Americas,645795.52,870928.64,423830.32,432337.01,449146.95,735475.34,762340.8,909357.2,1024747.37,1492956.84,1126300.69
"DOCUMENT STORAGE SYSTEMS, INC.",APAC,0,0,0,0,0,0,0,0,0,0,0
"DOCUMENT STORAGE SYSTEMS, INC.",EMEA,0,258.63,0,0,0,249.45,848.55,0,0,0,0
"DOCUMENT STORAGE SYSTEMS, INC.",NULL,0,13.13,0,0,0,441.5,1466.47,0,0,1421.13,0
"DOCUMENT TECHNOLOGIES, LLC",Americas,1213570.11,1580642.18,1792746.06,1891301.65,1740400.94,1651324.42,1291649.53,1550753.94,1453411.63,1469870.39,1319622
"DOCUMENT TECHNOLOGIES, LLC",APAC,0,5208.89,13879.59,12713.05,9130.57,4258.55,5735.95,2906.98,8063.21,7804.7,11581.06
"DOCUMENT TECHNOLOGIES, LLC",EMEA,11673.43,38840.07,18829.33,43473.07,47427.56,45551.51,37956.61,19344.52,35153.35,25783.94,40404.91
DOCUPACE TECHNOLOGIES,Americas,73953.87,132321.3,83350.58,100048.39,32117.7,72678.83,59797.73,154319.85,120742.26,92238.77,88154.3
"DOCUSIGN, INC.",Americas,1979210.75,2104159.88,2375458.56,2418450.43,2555423.13,3053315.25,2853854.27,3169526.56,2881987.86,3230880.09,3172141.1
"DOCUSIGN, INC.",APAC,44311.15,131767.93,98987.18,113933.17,104129.09,129473.05,146483.3,165386.15,135321.25,129413.6,151818.27
"DOCUSIGN, INC.",EMEA,161044.86,230054.18,298143.45,266357.75,354219.04,408390.64,392706.15,426068.91,369894.9,434196.61,542684.22
DO-IT BEST CORP,Americas,952263.97,1108834.93,1045584.5,1100120.86,1032013.84,921258.99,1060848.84,920283.95,1068742.16,1111158.16,1115622.31
DO-IT BEST CORP,APAC,2929.35,1057.66,2084.56,6023.54,1774.79,0,533.7,5466.53,3571.53,1030.71,1215.22
DO-IT BEST CORP,EMEA,2617.35,4310.91,5910.88,38.26,0,8359.95,0,0,2454.31,97.05,-294.69
DO-IT BEST CORP,NULL,0,0,0,0,0,134.74,602.63,573.76,498.49,2123.08,11.16
"DOLCE VITA FOOTWEAR, INC.",Americas,554352.69,402053.75,448213.39,484028.65,518918.24,371480.34,582238.42,544379.52,457210.36,405936.57,422636.48
"DOLCE VITA FOOTWEAR, INC.",APAC,38230.43,31554.01,18710.21,38745.65,13368.08,25186.53,17709.74,34958.86,5854.44,18900.74,8067.5
"DOLCE VITA FOOTWEAR, INC.",EMEA,97230.25,14483.43,58731.56,6499.34,81311.68,18082.83,37098.36,39057.43,59250.56,22910,23281.69
"DOLE PACKAGED FOODS, LLC",Americas,635652.81,625790.73,569149.64,690048.1,838093.97,752762.64,547221.77,613154.26,745364.5,690044.34,683874.44
"DOLE PACKAGED FOODS, LLC",APAC,7242.83,8107.05,5569.66,15440.52,23170.36,13841.86,3519.07,15000.65,10211.35,5428.57,3234.42
