COMPANY_NAME,GEO,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,fff
ABB/CON-CISE OPTICAL GROUP LLC,EMEA,0,36.45,0,0,0,0,0,0,0,0,0,36.45
ABBOTT INDIA LIMITED,APAC,595063.26,689967.54,734403.55,593771.65,640136.85,631806.19,706557.14,736297.02,593359.35,551334.13,835120.8,7307817.48
ABBOTT LABORATORIES,Americas,46991394.3,55128103.9,53264703.05,58282801.8,46300958.88,53157907.97,49369363.23,52040022.24,46945695.62,53087240.78,46978253.91,561546445.7
ABBOTT LABORATORIES,APAC,19555446.69,24720406.22,22846541.83,25685010.35,19217790.37,23599670.89,21221883.73,24646568.64,18923709.37,22340405.85,19836072.21,242593506.2
ABBOTT LABORATORIES,EMEA,10719179.56,11854159.01,9816427.79,13424759.11,9991978.53,13761427.91,10725216.6,14108799.92,10718093.99,12448145.51,10611739.95,128179927.9
"ABBVIE, INC",Americas,45144088.31,49915081.36,43949703.37,54555824,44800516.28,50570005.03,42532971.69,54007104.43,45172425.85,53372035.65,46552000.84,530571756.8
"ABBVIE, INC",APAC,6061207.39,10541187.31,9493279.51,12516675.09,9087638.14,11418616.3,10798264.91,12909520.99,8879036.64,10963846.29,10607515.65,113276788.2
"ABBVIE, INC",EMEA,10768543.39,18214124.85,17031940.11,25177409.24,17583629.77,21858553.65,17534175.4,25586315.04,17829359.09,20829314.08,17433452.05,209846816.7
ABC FINANCIAL,Americas,1832110.1,1491967.98,1397434.72,1424621.51,1260770.55,1391380.25,1310369.46,1324750.68,1297441.27,1448397.08,1081976.81,15261220.41
ABCK CORP,Americas,61334.09,49975.08,77650.13,110936.32,74119.72,84980.88,30345.5,34143.64,117364.01,112092.31,69478.16,822419.84
ABELL PEST CONTROL INC,Americas,203871.62,233499.72,246496.99,279690.72,250229.3,294566.87,209226.67,301806.74,297988.16,260657.23,223687.43,2801721.45
ABERCROMBIE AND FITCH,Americas,3465048.86,3378835.22,3193340.91,4376624.98,3450370.51,3630279.28,3709695.4,4119724.19,3393221.15,3430615.64,3207996.9,39355753.04
